LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"GEOENGINEERS, INC.","17425 NE Union Hill Rd., STE 250",REDMOND,WA,98052,541330,Corporation,,,,,325,4/15/2020,,
a $5-10 million,"GILBERT ORCHARDS, INC.",10804 Gilbert Road,YAKIMA,WA,98903,484110,Corporation,,,,,,4/13/2020,,
a $5-10 million,GLY CONSTRUCTION INC.,200 112 AVE NE; Suite 300,BELLEVUE,WA,98004,236220,Subchapter S Corporation,,,,,316,4/15/2020,,
a $5-10 million,"GORDON TRUCK CENTERS, INC.",277 Stewart Road SW,PACIFIC,WA,98047,441110,Subchapter S Corporation,,,,,481,4/13/2020,,
a $5-10 million,GRAYS HARBOR COMMUNITY HOSPITAL,915 ANDERSON DR,ABERDEEN,WA,98520,622110,Non-Profit Organization,,,,,470,4/29/2020,,
a $5-10 million,GREEN DIAMOND RESOURCE COMPANY,1301 FIFTH AVENUE SUITE 2700,SEATTLE,WA,98101,113110,Corporation,,,,,0,5/8/2020,,
a $5-10 million,"H. D. FOWLER CO., INC.",3633 136th Pl SE,BELLEVUE,WA,98006,423310,Subchapter S Corporation,,,,,491,4/11/2020,,
a $5-10 million,HANNAH MOTOR COMPANY,3321 Ne Auto Mall Dr,VANCOUVER,WA,98662,441110,Corporation,,,,,500,5/3/2020,,
a $5-10 million,HARTUNG GLASS INDUSTRIES INC,17830 W Valley Hwy,TUKWILA,WA,98188,327215,Corporation,,,,,500,4/16/2020,,
a $5-10 million,"HIGHLIGHTS SALONS, LLC",15375 30TH PL SUITE 270,BELLEVUE,WA,98007,812112,Limited  Liability Company(LLC),,,,,70,4/27/2020,,
a $5-10 million,HOLADAY-PARKS-FABRICATORS INC.,4600 134TH PL S,TUKWILA,WA,98168,238220,Corporation,,,,,,4/10/2020,,
a $5-10 million,HOLMBERG COMPANY,10690 NE 9TH PL,BELLEVUE,WA,98004,238220,Subchapter S Corporation,,,,,0,4/27/2020,,
a $5-10 million,HOMES ELECTRIC COMPANY,600 Washington Ave South,KENT,WA,98032,238210,Corporation,,,,,0,4/15/2020,,
a $5-10 million,INCYTE PATHOLOGY PS,13103 E MANSFIELD AVE,SPOKANE VALLEY,WA,99216,621511,Partnership,,,,,373,4/13/2020,,
a $5-10 million,INTERNATIONAL COMMUNITY HEALTH SERVICES,720 8TH AVE S SUITE 100 P.O. BOX 3007,SEATTLE,WA,98114,621111,Non-Profit Organization,,,,,487,4/14/2020,,
a $5-10 million,INTERWEST CONSTRUCTION INC,609 NORTH HILL BLVD,BURLINGTON,WA,98233,237990,Corporation,,,,,250,4/10/2020,,
a $5-10 million,IVARS INC,1001 ALASKAN WAY SUITE 109,SEATTLE,WA,98104,722511,Corporation,,,,,0,4/11/2020,,
a $5-10 million,"J.R. ABBOTT CONSTRUCTION, INC",3408 1ST AVE S,SEATTLE,WA,98134,236220,Corporation,,,,,,4/28/2020,,
a $5-10 million,"JANICKI INDUSTRIES, INC.",719 Metcalf St,SEDRO WOOLLEY,WA,98284,336412,Subchapter S Corporation,,,,,500,4/13/2020,,
a $5-10 million,"JEFFREYM CONSULTING, LLC",600 University Street,SEATTLE,WA,98101,453998,Sole Proprietorship,,,,,289,4/14/2020,,
a $5-10 million,JMAC ENERGY SERVICES,1505 NORTH MILLER ST SUITE 260,WENATCHEE,WA,98801,237990,Limited  Liability Company(LLC),,,,,0,4/7/2020,,
a $5-10 million,"KIDDER MATHEWS, INC.","601 UNION ST, STE 4720",SEATTLE,WA,98101,531210,Corporation,,,,,0,4/14/2020,,
a $5-10 million,KITSAP MENTAL HEALTH SERVICES,5455 Almira Dr. NE,BREMERTON,WA,98311,621420,Non-Profit Organization,,,,,450,4/15/2020,,
a $5-10 million,KLB CONSTRUCTION INC,PO Box 158,MUKILTEO,WA,98275,237110,Subchapter S Corporation,,,,,0,4/5/2020,,
a $5-10 million,KOREAN WOMEN'S ASSOCIATION,123 96TH ST E,TACOMA,WA,98445,624120,Non-Profit Organization,,,,,485,5/12/2020,,
a $5-10 million,KUBRAT07 LLC,21020  84TH AVE S,KENT,WA,98032,722513,Limited  Liability Company(LLC),,,,,12,4/8/2020,,
a $5-10 million,"LABORWORKS INDUSTRIAL STAFFING SPECIALISTS, INC.",6514 Wollochet Dr,GIG HARBOR,WA,98335,561311,Subchapter S Corporation,,,,,0,4/27/2020,,
a $5-10 million,LANE POWELL PC,"1420 Fifth Ave, Suite 4200",SEATTLE,WA,98101,922130,Corporation,,,,,375,4/13/2020,,
a $5-10 million,LOGIC20/20 INC.,"1501 First Avenue South, #310",SEATTLE,WA,98134,541519,Subchapter S Corporation,,,,,270,4/15/2020,,
a $5-10 million,LYDIG CONSTRUCTION INC,11001 E MONTGOMERY DR,SPOKANE VALLEY,WA,99206,236220,Corporation,,,,,0,4/7/2020,,
a $5-10 million,MAD ANTHONY'S INCORPORATED,10502 NE 37th Cir Bldg 8,KIRKLAND,WA,98033,722511,Corporation,,,,,500,4/14/2020,,
a $5-10 million,"MANKE LUMBER COMPANY, INC.",1717 Marine View Dr,TACOMA,WA,98422,484110,Corporation,,,,,467,4/13/2020,,
a $5-10 million,"MCMILLEN JACOBS ASSOCIATES, INC.","1011 Western Avenue, Suite 706",SEATTLE,WA,98104,541330,Corporation,,,,,200,4/10/2020,,
a $5-10 million,MG2 CORPORATION,1101 Second Ave Suite 100,SEATTLE,WA,98101,541310,Subchapter S Corporation,,,,,335,4/9/2020,,
a $5-10 million,"MOD SUPER FAST PIZZA, LLC",2035 158th Court NE 0.0,BELLEVUE,WA,98008,722513,Limited  Liability Company(LLC),,,,,500,4/11/2020,,
a $5-10 million,MUTUAL MATERIALS COMPANY,605 119th Avenue NE,BELLEVUE,WA,98005,327331,Corporation,,,,,453,4/11/2020,,
a $5-10 million,"N. A. DEGERSTROM, INC",3303 N SULLIVAN RD,SPOKANE VALLEY,WA,99216,212221,Subchapter S Corporation,,,,,0,4/6/2020,,
a $5-10 million,NATIONAL FOOD CORPORATION,"134TH ST728 134th St SW, Ste 103",EVERETT,WA,98204,112310,Corporation,,,,,0,4/10/2020,,
a $5-10 million,"NORTHWEST CONSTRUCTION, INC.",2353 130th Ave NE,KIRKLAND,WA,98033,236210,Subchapter S Corporation,,,,,,4/15/2020,,
a $5-10 million,NORTHWEST RESTAURANTS INC,18815 139th Ave NE Suite C,WOODINVILLE,WA,98072,722513,Corporation,,,,,500,4/15/2020,,
a $5-10 million,NOVINIUM INC,22820 Russell Road,KENT,WA,98032,238990,Corporation,,,,,267,4/8/2020,,
a $5-10 million,OCEAN PARK MECHANICAL INC.,14900 Interurban Ave S Suite 283,TUKWILA,WA,98168,238210,Subchapter S Corporation,,,,,388,4/9/2020,,
a $5-10 million,ONE GOOD PUTT INC,5508 E. FOURTH PLAIN #F,VANCOUVER,WA,98604,445299,Corporation,,,,,,4/27/2020,,
a $5-10 million,PACTERA TECHNOLOGIES NA INC,14980 NE 31ST WAY STE 100,REDMOND,WA,98052,541511,Corporation,,,,,,5/3/2020,,
a $5-10 million,"PARAMETRIX, INC.",1019  39TH AVE SE Suite 100,PUYALLUP,WA,98374,541620,Corporation,,,,,431,4/4/2020,,
a $5-10 million,PENINSULA TRUCK LINES INC,1010 S 336TH ST STE 202,FEDERAL WAY,WA,98003,484110,Corporation,,,,,487,4/15/2020,,
a $5-10 million,PINEAPPLE HOSPITALITY COMPANY,155 108th AVE NE STE 500,BELLEVUE,WA,98004,721110,Corporation,,,,,0,4/4/2020,,
a $5-10 million,"PORCH.COM, INC.",2200 1st Avenue South,SEATTLE,WA,98134,541890,Corporation,,,,,409,4/10/2020,,
a $5-10 million,"PRAIRIE ELECTRIC, INC.",6000 NE 88TH ST,VANCOUVER,WA,98665,238210,Corporation,,,,,449,4/28/2020,,
a $5-10 million,PRESBYTERIAN RETIREMENT COMMUNITIES NORTHWEST,1980 112th Ave NE,BELLEVUE,WA,98004,623311,Corporation,,,,,0,4/28/2020,,
a $5-10 million,PROMETHEAN INC.,720 OLIVE WAY STE 1500,SEATTLE,WA,98101,511210,Corporation,,,,,228,4/30/2020,,
a $5-10 million,PROSSER PUBLIC HOSPITAL DISTRICT BENTON,723 MEMORIAL ST,PROSSER,WA,99350,623110,Non-Profit Organization,,,,,374,5/3/2020,,
a $5-10 million,"PSF MECHANICAL, INC","11621 East Marginal Way S, Suite A",SEATTLE,WA,98168,238220,Subchapter S Corporation,,,,,223,4/27/2020,,
a $5-10 million,"RAM 1971, INC.",10013 59TH AVE SW,LAKEWOOD,WA,98499,722511,Employee Stock Ownership Plan(ESOP),,,,,0,4/6/2020,,
a $5-10 million,"ROMAC INDUSTRIES, INC.","21919 20th Avenue SE, Suite 100 0.0",BOTHELL,WA,98021,332999,Subchapter S Corporation,,,,,500,4/10/2020,,
a $5-10 million,ROTSCHY INC,9210 NE 62nd Ave,VANCOUVER,WA,98665,237310,Subchapter S Corporation,,,,,405,4/13/2020,,
a $5-10 million,SCAFCO CORPORATION,2800 E MAIN AVE,SPOKANE,WA,99202,333111,Subchapter S Corporation,,,,,0,4/28/2020,,
a $5-10 million,SEATTLE TIMES COMPANY AND SUBSIDIARIES,1000 Denny Way,SEATTLE,WA,98109,511110,Corporation,,,,,499,4/12/2020,,
a $5-10 million,SELLEN CONSTRUCTION CO INC,PO Box 9970,SEATTLE,WA,98109,236220,Corporation,,,,,0,4/9/2020,,
a $5-10 million,"SEQUOYAH ELECTRIC, LLC",15135 NE 92nd St,REDMOND,WA,98052,238210,Limited  Liability Company(LLC),,,,,207,4/12/2020,,
a $5-10 million,"SIGMA DESIGN, INC.",4600 PACIFIC RIM BLVD,CAMAS,WA,98607,541330,Subchapter S Corporation,,,,,219,4/15/2020,,
a $5-10 million,"SILVER BAY SEAFOODS, L.L.C.",4039 21ST AVE W,SEATTLE,WA,98199,311710,Limited  Liability Company(LLC),,,,,351,4/13/2020,,
a $5-10 million,SKILLS INC,715 30th Street NE,AUBURN,WA,98002,624310,Non-Profit Organization,,,,,420,4/14/2020,,
a $5-10 million,STAR PROTECTION AGENCY LLC,875 NE 124TH AVE Suite 101,BELLEVUE,WA,98005,561612,Corporation,,,,,0,4/27/2020,,
a $5-10 million,"SUNRISE SERVICES, INC.",811 MADISON ST,EVERETT,WA,98203,623990,Corporation,,,,,0,4/28/2020,,
a $5-10 million,"TAPANI, INC.",1904 SE 6th Place,BATTLE GROUND,WA,98604,237110,Corporation,,,,,427,4/14/2020,,
a $5-10 million,TAYLOR SHELLFISH COMPANY. INC.,130 SE Lynch Rd,SHELTON,WA,98584,311710,Corporation,,,,,486,4/13/2020,,
a $5-10 million,THE GENEVA FOUNDATION,917 Pacific Ave Ste 600,TACOMA,WA,98402,541713,Non-Profit Organization,,,,,,4/27/2020,,
a $5-10 million,THE LIGHTHOUSE FOR THE BLIND INC,2501 S PLUM ST,SEATTLE,WA,98144,624310,Non-Profit Organization,,,,,0,4/15/2020,,
a $5-10 million,THERAPEUTIC ASSOCIATES INC,"20829 72ND AVE S, Ste 710",KENT,WA,98032,621340,Corporation,,,,,0,4/9/2020,,
a $5-10 million,"TITAN ELECTRIC, INC",12828 Northup Way Suite 205,BELLEVUE,WA,98005,238210,Corporation,,,,,0,4/8/2020,,
a $5-10 million,TRA-MINW PS,130145 S Fawcett St,TACOMA,WA,98402,621512,Corporation,,,,,,4/15/2020,,
a $5-10 million,"UNIVERSITY MECHANICAL CONTRACTORS, INC.",11611 49th Pl W,MUKILTEO,WA,98275,238220,Subchapter S Corporation,,,,,455,4/11/2020,,
a $5-10 million,UW PHYSICIANS NETWORK,1100 NE 45th St Ste 500,SEATTLE,WA,98105,999990,Non-Profit Organization,,,,,403,5/3/2020,,
a $5-10 million,"WAGSTAFF, INC.",3910 N. FLORA RD.,SPOKANE VALLEY,WA,99216,333517,Subchapter S Corporation,,,,,0,4/8/2020,,
a $5-10 million,WALTER DORWIN TEAGUE ASSOCIATES INC,110 Union St Ste 500,SEATTLE,WA,98101,541330,Corporation,,,,,171,4/16/2020,,
a $5-10 million,"WELLONS GROUP, INC",2525 W. Firestone Lane,VANCOUVER,WA,98660,332410,Corporation,,,,,274,4/15/2020,,
a $5-10 million,"WESTERN PETERBILT, LLC",3801 AIRPORT WAY S,SEATTLE,WA,98108,531110,Limited  Liability Company(LLC),,,,,0,4/7/2020,,
a $5-10 million,WESTERN WASHINGTON MEDICAL GROUP,1728 W Marine View Drive #110,EVERETT,WA,98201,621111,Corporation,,,,,0,4/27/2020,,
a $5-10 million,WILSON OIL INC,95 Panel Way,LONGVIEW,WA,98632,447190,Corporation,,,,,422,5/3/2020,,
a $5-10 million,WOODLAND PARK ZOOLOGICAL SOCIETY,5500 PHINNEY AVE N,SEATTLE,WA,98103,712130,Corporation,,,,,370,4/15/2020,,
b $2-5 million,"13 COINS HOLDINGS, LLC",2107 Elliot Ave. Ste. 304,SEATTLE,WA,98121,722511,Limited  Liability Company(LLC),,,,,271,4/28/2020,,
b $2-5 million,"3MR RESTAURANTS, INC.",1821 W. 5TH Avenue STE 106,SPOKANE,WA,99201,722513,Corporation,,,,,500,4/28/2020,,
b $2-5 million,5TH AVENUE THEATRE ASSOCIATION,1326 5th Ave STE 735,SEATTLE,WA,98101,711110,Professional Association,,,,,183,4/15/2020,,
b $2-5 million,"A.T.S. AUTOMATION, INC.",450 SHATTUCK AVE S.,RENTON,WA,98057,238220,Corporation,,,,,218,4/3/2020,,
b $2-5 million,"A.V.A. SIDING, LLC",19809 Renton Maple Valley Rd. SE,MAPLE VALLEY,WA,98038,444110,Limited  Liability Company(LLC),,,,,106,4/28/2020,,
b $2-5 million,"AA ASPHALTING, LLC",14720 PUYALLUP ST,SUMNER,WA,98390,237310,Limited  Liability Company(LLC),,,,,,4/8/2020,,
b $2-5 million,"ABODA, INC.",6525 240th St SE,WOODINVILLE,WA,98072,721110,Corporation,,,,,203,4/10/2020,,
b $2-5 million,ACCORD INC,3300 MAPLE VALLEY HWY,RENTON,WA,98058,722513,Corporation,,,,,0,4/10/2020,,
b $2-5 million,ACME CONCRETE PAVING INC,4124 E BROADWAY AVE,SPOKANE,WA,99202,237310,Corporation,,,,,0,4/7/2020,,
b $2-5 million,ACTIVE CONSTRUCTION INC,5110 RIVER RD,TACOMA,WA,98443,237310,Corporation,,,,,,4/28/2020,,
b $2-5 million,"ADAIR HOMES, INC.",1311 SE CARDINAL CT STE 100,VANCOUVER,WA,98683,236117,Corporation,,,,,0,4/10/2020,,
b $2-5 million,ADAMS TRI CITIES ENT,6515 CLEARWATER AVE STE 214,KENNEWICK,WA,99336,722511,Corporation,,,,,0,4/9/2020,,
b $2-5 million,ADVANCED INTERIOR SERVICES INC,17130 51st Ave SE,BOTHELL,WA,98012,238310,Corporation,,,,,331,4/6/2020,,
b $2-5 million,AERO CONTROLS INC,1610 20TH ST NW,AUBURN,WA,98001,811310,Subchapter S Corporation,,,,,152,5/1/2020,,
b $2-5 million,AEROSPACE TESTING ENGINEERING & CERTIFICATION INC,6100 4TH AVE S STE 300,SEATTLE,WA,98108,541330,Corporation,,,,,240,4/15/2020,,
b $2-5 million,AFFIRMA LLC,3380 146th Pl SE Ste 200,BELLEVUE,WA,98007,531120,Limited  Liability Company(LLC),,,,,320,4/30/2020,,
b $2-5 million,AGRILABOR INC,83001 E SAGEBRUSH RD,KENNEWICK,WA,99338,561320,Subchapter S Corporation,,,,,,4/28/2020,,
b $2-5 million,AHBL INC,"2215 N. 30th Street, Suite 300",TACOMA,WA,98403,541330,Corporation,,,,,111,4/28/2020,,
b $2-5 million,"AJP ENTERPRISES, LLC",5005 PACIFIC HWY E STE 12,FIFE,WA,98424,722513,Limited  Liability Company(LLC),,,,,23,4/6/2020,,
b $2-5 million,ALASKA POWER & TELEPHONE COMPANY,193 OTTO ST,PORT TOWNSEND,WA,98368,517311,Corporation,,,,,147,4/15/2020,,
b $2-5 million,"ALBERT LEE, INC.",1476 Elliott Avenue West,SEATTLE,WA,98119,443141,Corporation,,,,,225,4/15/2020,,
b $2-5 million,ALCO INVESTMENT COMPANY,27402 72ND AVE S,KENT,WA,98032,423990,Subchapter S Corporation,,,,,331,4/6/2020,,
b $2-5 million,ALFREDS AWAY LLC,2818 N SULLIVAN RD STE 100,SPOKANE,WA,99216,721110,Corporation,,,,,249,4/8/2020,,
b $2-5 million,"ALL NEW GLASS, INC.",319 D ST NW Suite 104,AUBURN,WA,98001,236220,Corporation,,,,,0,4/7/2020,,
b $2-5 million,ALLIANCE PACKAGING LLC,1000 SW 43rd St,RENTON,WA,98057,322211,Limited  Liability Company(LLC),,,,,297,4/29/2020,,
b $2-5 million,ALLYIS INC.,10210 Northeast Points Drive,KIRKLAND,WA,98033,453998,Sole Proprietorship,,,,,161,4/14/2020,,
b $2-5 million,"AMERICAN DRILLING CORP, LLC",19208 E BROADWAY AVE,SPOKANE VALLEY,WA,99016,213111,Limited  Liability Company(LLC),,,,,0,4/8/2020,,
b $2-5 million,AMERICAN ELECTRIC INC.,1999 BUTLER LOOP RD,RICHLAND,WA,99354,238210,Subchapter S Corporation,,,,,205,4/15/2020,,
b $2-5 million,AMERICAN IRONWORKS AND ERECTORS INC.,7620 E SPEAR AVE,SPOKANE VALLEY,WA,99212,238990,Corporation,,,,,66,4/3/2020,,
b $2-5 million,"AMPERITY, INC.","701 5th Avenue, Suite 2600",SEATTLE,WA,98104,541511,Corporation,,,,,155,4/10/2020,,
b $2-5 million,"ANDERSON HAY & GRAIN CO., INC.",910 Anderson Rd,ELLENSBURG,WA,98926,424910,Corporation,,,,,232,4/13/2020,,
b $2-5 million,"ANDGAR CORPORATION, INC.",6920 Salashan Parkway A-102,FERNDALE,WA,98248,332322,Subchapter S Corporation,,,,,144,4/8/2020,,
b $2-5 million,ANNIE WRIGHT SCHOOLS,827 N TACOMA AVE,TACOMA,WA,98403,611110,Non-Profit Organization,,,,,,4/15/2020,,
b $2-5 million,ANVIL CORPORATION,1675 W BAKERVIEW RD,BELLINGHAM,WA,98226,541330,Corporation,,,,,387,4/15/2020,,
b $2-5 million,APPLY-A-LINE LLC,175 ROY RD SW Suite C,PACIFIC,WA,98047,237310,Limited  Liability Company(LLC),,,,,100,4/13/2020,,
b $2-5 million,ARCHDIOCESAN HOUSING AUTHORITY,100 23rd Ave S,SEATTLE,WA,98144,624229,Non-Profit Organization,,,,,156,4/15/2020,,
b $2-5 million,"ARCTIC FJORD, INC.",2727 Alaskan Way - Pier 69,SEATTLE,WA,98121,113110,Corporation,,,,,198,4/10/2020,,
b $2-5 million,"ARCTIC STORM, INC.",2727 Alaskan Way - Pier 69,SEATTLE,WA,98121,113110,Corporation,,,,,220,4/10/2020,,
b $2-5 million,"ASC MACHINE TOOLS, INC.",900 N FANCHER RD,SPOKANE VALLEY,WA,99212,333249,Corporation,,,,,140,4/15/2020,,
b $2-5 million,ASIAN COUNSELING AND REFERRAL SERVICE,3639 Martin Luther King Jr Way S,SEATTLE,WA,98144,624190,Non-Profit Organization,,,,,289,4/10/2020,,
b $2-5 million,"ASKO PROCESSING, INC.",434 N 35TH ST,SEATTLE,WA,98103,332813,Subchapter S Corporation,,,,,230,4/10/2020,,
b $2-5 million,ATKINSON STAFFING INC.,83001 E Sagebrush Rd,KENNEWICK,WA,99338,561320,Corporation,,,,,,4/28/2020,,
b $2-5 million,"AUDIO VISUAL MANAGEMENT SOLUTIONS, INC.",814 6TH AVE S,SEATTLE,WA,98134,532299,Subchapter S Corporation,,,,,51,5/1/2020,,
b $2-5 million,"AUTOMATION AND CONTROL STRATEGIES GROUP, INC",1005 west  8TH ST,VANCOUVER,WA,98660,561320,Subchapter S Corporation,,,,,265,4/6/2020,,
b $2-5 million,AVENUE5 RESIDENTIAL LLC,901 5TH AVENUE SUITE 3000,SEATTLE,WA,98164,531311,Limited  Liability Company(LLC),,,,,0,5/1/2020,,
b $2-5 million,"AXIOM - DIVISION 7, INC.","1841 Front Street, Suite A",LYNDEN,WA,98264,238160,Corporation,,,,,128,4/13/2020,,
b $2-5 million,AXIOM CONSTRUCTION & CONSULTING LLC,"1841 Front Street, Suite A",LYNDEN,WA,98264,238160,Limited  Liability Company(LLC),,,,,144,4/12/2020,,
b $2-5 million,B/T WASHINGTON LLC,"159 S Jackson St, Ste 320",SEATTLE,WA,98104,531311,Limited  Liability Company(LLC),,,,,0,4/7/2020,,
b $2-5 million,"BAFFETTO, INC.",423 E PIKE ST,SEATTLE,WA,98122,722513,Corporation,,,,,0,4/9/2020,,
b $2-5 million,"BALLARD MARINE CONSTRUCTION, LLC",727 S 27th St,WASHOUGAL,WA,98671,237310,Limited  Liability Company(LLC),,,,,231,4/11/2020,,
b $2-5 million,"BARDY DIAGNOSTICS, INC.",316 Occidental Ave S Suite B310,SEATTLE,WA,98104,334510,Corporation,,,,,,4/27/2020,,
b $2-5 million,BARGHAUSEN CONSULTING ENGINEERS INC.,18215 72nd Avenue South,KENT,WA,98032,541330,Corporation,,,,,175,4/14/2020,,
b $2-5 million,BASTYR UNIVERSITY,14500 Juanita Drive NE,KENMORE,WA,98028,611310,Non-Profit Organization,,,,,470,4/15/2020,,
b $2-5 million,"BAY VALVE SERVICE & ENGINEERING, LLC",4385 South 133rd Street,SEATTLE,WA,98168,811310,Corporation,,,,,324,4/15/2020,,
b $2-5 million,"BAYLEY CONSTRUCTION, LP",8005 SE 28th St,MERCER ISLAND,WA,98040,236220,Partnership,,,,,205,4/11/2020,,
b $2-5 million,BEHAVIORAL HLTH RESOURCES,3857 MARTIN WAY E,OLYMPIA,WA,98506,621420,Corporation,,,,,188,4/28/2020,,
b $2-5 million,BELLEVUE CHRISTIAN SCHOOL,1701 98TH AVE NE,BELLEVUE,WA,98004,611110,Non-Profit Organization,,,,,143,4/15/2020,,
b $2-5 million,BELLEVUE HEALTHCARE II INC.,1427 130TH AVE NE,BELLEVUE,WA,98005,621498,Corporation,,,,,0,4/13/2020,,
b $2-5 million,"BELLINGHAM MARINE INDUSTRIES, INC.",1323 Lincoln Street,BELLINGHAM,WA,98229,237990,Corporation,,,,,500,4/13/2020,,
b $2-5 million,BENEFICIAL IN-HOME CARE INC,706 N Maple St,SPOKANE,WA,99201,621610,Subchapter S Corporation,,,,,376,4/15/2020,,
